Paper_ID;Source;Author;Title;Journal;Year_publication;doi;Geography;Country;Other_Geography;Latitude;Longitude;Study_type;Corresponding_emailed;Answer;Answer_positive;Notes;Compiler
CC_0040;WOS;Pallares S. et al.;Heat Tolerance And Acclimation Capacity In Subterranean Arthropods Living Under Common And Stable Thermal Conditions;Ecology and evolution;2019;https://doi.org/10.1002/ece3.5782;Palearctic;Jaen;Murcielaguina de Hornos cave;38,21;-2,71;Laboratory;no;Not applicable;Not applicable;-;Raquel Colado
CC_0041;WOS;Mammola S.;Modelling the future spread of native and alien congeneric species in subterranean habitats — the case of Meta cave-dwelling spiders in Great Britain;International Journal of Speleology;2017;https://doi.org/10.5038/1827-806X.46.3.2134;Palearctic;UK;-;53,00;-1,60;Modelling;yes;yes;yes;Recalculated for the meta analysis;Stefano Mammola
CC_0141;WOS;Farless N. A., et al.;Thermal tolerances of fishes occupying groundwater and surface-water dominated streams;Freshwater Science;2017;https://doi.org/10.1086/694781;Nearctic;US;"Arbuckle Mountain ecoregion; Blue River, Pennington Creek, Byrds Mill Spring ";34,46;-97,19;Laboratory;no;Not applicable;Not applicable; -;Ilaria Vaccarelli
CC_0046;WOS;Mermillod-Blondin F. et al.;Thermal Tolerance Breadths Among Groundwater Crustaceans Living In A Thermally Constant Environment;The journal of experimental biology;2013;https://doi.org/10.1242/jeb.081232;Palearctic;Spain;"Jura Mountains – La Balme caves; Mouthe spring; Baume la Fraîte cave; Borne aux Cassots cave";45,85;5,33;Laboratory;no;Not applicable;Not applicable;-;Raquel Colado
CC_0049;WOS;Moog O., et al.;Increased cave use by butterflies and moths: a response to climate warming?;International Journal of Speleology;2021;https://doi.org/10.5038/1827-806X.50.1.2361;Palearctic;Austria;Austrian caves;48,22;16,38;Field;no;Not applicable;Not applicable;Coordinattes of Vienna;Ilaria Vaccarelli
CC_0052;WOS;Di Lorenzo T. et al.;Temperature Effect On The Sensitivity Of The Copepod Eucyclops Serrulatus (Crustacea, Copepoda, Cyclopoida) To Agricultural Pollutants In The Hyporheic Zone;Current zoology;2015;https://doi.org/10.1093/czoolo/61.4.629;Palearctic;Italy;River Aterno;42,48;13,24;Laboratory;no;Not applicable;Not applicable;-;Raquel Colado
CC_0056;WOS;Bodharamik T. et al.;Diversity Of Mosquito Species Ovipositing In Different Zones Of Light Intensity Within Limestone Caves In Thailand;Journal of the american mosquito control association;2018;https://doi.org/10.2987/18-6742.1;Indomalayan;Thailand;"Cave of Wat Tum Phromalok ; Cave of Wat Tum Benjaratnakorn ; Cave of Wat Tum Suedao ; Cave Pongfah";16,32;100,01;Field;no;Not applicable;Not applicable;-;Raquel Colado
CC_0066;WOS;Bendik N.F. et al.;Body Length Shrinkage In An Endangered Amphibian Is Associated With Drought;Journal of zoology;2012;https://doi.org/10.1111/jzo.12009;Nearctic;US;Lanier Spring;34,14;-84,05;Field;no;Not applicable;Not applicable;-;Raquel Colado
CC_0067;WOS;Di Lorenzo T. et al.;Effect Of Temperature Rising On The Stygobitic Crustacean Species Diacyclops Belgicus: Does Global Warming Affect Groundwater Populations?;Water;2017;https://doi.org/10.3390/w9120951;Palearctic;Italy;Tuscany;43,81;11,19;Laboratory;no;Not applicable;Not applicable;-;Raquel Colado
CC_0076;WOS;Jyvasjarvi J. et al.;Climate-Induced Warming Imposes A Threat To North European Spring Ecosystems;Global change biology;2015;https://doi.org/10.1111/gcb.13067;Palearctic;Finland;Multiple localities;65,29;27,14;Modelling;no;Not applicable;Not applicable;-;Raquel Colado
CC_0076;WOS;Jyvasjarvi J. et al.;Climate-Induced Warming Imposes A Threat To North European Spring Ecosystems;Global change biology;2015;https://doi.org/10.1111/gcb.13067;Palearctic;Sweden;Multiple localities;64,29;16,03;Modelling;no;Not applicable;Not applicable;-;Raquel Colado
CC_0077;WOS;Castano-Sanchez A. et al;Salinity And Temperature Increase Impact Groundwater Crustaceans;Scientific reports;2020;https://doi.org/10.1038/s41598-020-69050-7;Australian;Australia;Aquifers: Wellington, Somersby;-32,57;148,98;Laboratory;no;Not applicable;Not applicable;-;Raquel Colado
CC_0094;WOS;Tixier G. et al.;Exploration Of The Influence Of Global Warming On The Chironomid Community In A Manipulated Shallow Groundwater System;Hydrobiologia;2009;https://doi.org/10.1007/s10750-008-9663-y;Nearctic;Canada;Valley Spring;43,75;-79,25;Multiple;no;Not applicable;Not applicable;-;Raquel Colado
CC_0109;WOS;Moore D., et al. ;Under the weather?—The direct effects of climate warming on a threatened desert lizard are mediated by their activity phase and burrow system;Journal of Animal Ecology ;2017;https://doi.org/10.1111/1365-2656.12812;Australian;Australia;Burrow systems, Newhaven Wildlife Sanctuary in central Australia, Northern Territory;-22,62;131,16;Field;no;Not applicable;Not applicable;-;Ilaria Vaccarelli
